id;title;description;date_published;tags;duration;view;like
qgD4hlioVWA;Rebase Fedora Silverblue | Fedora Kinoite | Sodalite | Immutable Fedora;"Salam Indonesia Belajar!!!

Rebase Immutable Fedora Silverblue | Kinoite | Sodalite

Sobat Indonesia Belajar tentunya sudah mengetahui bahwa sejak Januari tahun 2022, channel Indonesia Belajar maulai menggunakan Immutable OS berbasis Fedora sebagai daily driver untuk memproduksi video2 pembelajaran. Sejauh ini kami memiliki impresi yang sangat positif. Kami juga pernah buatkan video panduan instalasi serta ulasan Fedora Kinoite yang merupakan versi immutable Fedora dengan mengusung KDE Plasma sebagai desktop environment.

Salah satu point positif yang ditawarkan oleh immutable OS adalah pemisahan antara OS dan Application. Dan ini dapat dirasakan sewaktu kita melakukan proses rebase. Nah untuk lebih jelasnya, dalam video kali ini kami akan memberikan panduan untuk melakukan rebase antar ketiga variant dari immutable Fedora, yaitu Silverblue yang berbasis Gnome, Kinoite yang berbasis KDE Plasma, dan Sodalite yang berbasis Pantheon.


00:00 - Intro
03:10 - Persiapan Virtual Machine - Virt-Manager
05:28 - Aplikasi yang sudah terinstall dengan Flatpak
06:42 - Update sistem | rpm-ostree update
10:40 - Rebase dari Fedora Kinoite ke Fedora Silverblue 
18:33 - Rebase ke Sodalite


Pertanyaan terkait ulasan dalam video ini dapat disampaikan pada kolom komentar di bawah ini. Kami akan berusaha sebaik mungkin untuk merespon setiap pertanyaan yang diajukan.

Video terkait:
- Sistem Operasi Immutable: https://youtu.be/O0-GnPvPd9A
- Ulasan Fedora Kinoite: https://youtu.be/neloJHoYInk

Links terkait:
- Komunitas Fedora Indonesia: https://t.me/FedoraID
- Group FB Linux Indonesia: https://www.facebook.com/groups/linuxidn
- Linux Mint: https://linuxmint.com/
- Video Pengenalan FOSS: https://youtu.be/OwXZwIs0vAU
- Distrowatch: https://distrowatch.com

Bagi teman-teman yang ingin mentraktir kami, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Linux Indonesia
- Rebase Fedora Silverblue
- Rebase Fedora Kinoite
- Rebase Fedora Sodalite
- Rebase Fedora Immutable
- Fedora Workstation
- Belajar Linux Pemula
- Belajar Linux Dasar
- Tutorial Linux Pemula
- FOSS Indonesia
- Open Source Indonesia
- Fedora Indonesia
- Fedora Linux

#FedoraLinux #FedoraSilverBlue #FedoraKinoite";2022-05-12T09:00:53Z;['fedora kinoite', 'fedora silverblue', 'fedora linux', 'immutable fedora', 'fedora immutable', 'fedora sodalite', 'fedora 36', 'rebase fedora silverblue', 'rebase fedora kinoite', 'rebase fedora sodalite', 'linux indonesia', 'fedora indonesia', 'linux pemula', 'tutorial linux', 'belajar linux', 'open source', 'open source indonesia', 'belajar linux dasar', 'immutable linux', 'linux immutable', 'fedora workstation', 'rpm-ostree', 'immutable os'];PT29M13S;317;20
LW1YtdZKeDA;CSD 16 | Tips Belajar Programming dan Belajar Data Science;"Hallo sobat Indonesia Belajar, jumpa lagi dengan saya Budi di Catatan Seorang Dosen. Pada edisi kali ini saya ingin berbagi tips belajar programming dan juga data science bersama channel Indonesia Belajar. Sesi kali ini cukup istimewa karena video ini merupakan video ke 500 yang diproduksi untuk channel Indonesia Belajar.


Video Chapters:
00:00 - Intro
01:55 - Motivasi Belajar yang Tepat
02:48 - Waktu Belajar yang Sesuai
03:39 - Kondisi Fisik yang Mendukung
04:44 - Suasana Ruangan yang Ideal
06:08 - Gunakan Layar Monitor Laptop atau PC
07:22 - Pelajari Materi secara Berurutan
08:26 - Belajar dengan Praktek Langsung
09:47 - Buat Catatan
10:48 - Lakukan Pengembangan & Modifikasi
12:30 - Lakukan Pengulangan Materi
13:40 - Insight dari Praktisi & Pakar
14:31 - Kolaborasi Pengajar dan Siswa


Video Motivasi Belajar: https://youtu.be/L-dHl2Sy9BQ

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Tips Belajar Programming
- Tips Belajar Pemrograman
- Tips Belajar Data Science
- Rekomendasi Belajar Programming
- Rekomendasi Belajar Pemrograman
- Rekomendasi Belajar Data Science
- Catatan Seorang Dosen
- Indonesia Belajar

#CatatanSeorangDosen #TipsBelajar #BelajarProgramming";2022-05-07T02:00:12Z;['catatan seorang dosen', 'indonesia belajar', 'tips belajar programming', 'rekomendasi belajar programming', 'tips belajar data science', 'rekomendasi belajar data science', 'tips belajar pemrograman', 'rekomendasi belajar pemrograman', 'tips belajar', 'rekomendasi belajar', 'tips belajar efektif', 'rekomendasi belajar efektif', 'belajar data science', 'belajar programming', 'data science', 'waktu belajar yang efektif', 'waktu yang sesuai untuk belajar'];PT16M52S;1779;104
G8ULufXAUvE;TS 08 | Mengenal Decomposition | De-Seasonalise | Peramalan Data Deret Waktu;"Salam Indonesia Belajar!!! 

Mengenal Decomposition pada data Deret Waktu | De-Seasonalise | Peramalan Data Deret Waktu

Video ini adalah video kedelapan dari video berseri atau playlist bertema Belajar Time Series dengan Google Sheets. 

Forecasting atau peramalan merupakan proses untuk melakukan prediksi nilai pada suatu titik waktu tertentu berdasarkan sekumpulan data yang kita miliki pada sejumlah titik waktu sebelumnya, atau seringkali juga dikenal dengan istilah data historis atau historical data. Forecasting bisa dibilang merupakan salah satu topik penting dalam bidang time series analysis. Terdapat sejumlah teknik forecasting, dan dalam sesi kali ini kita akan pelajari salah satu teknik dasar, yaitu dengan memanfaatkan Decomposition.


Dalam sesi belajar kali ini kita akan mempelajari:
00:00 - Intro
01:03 - Dataset
04:11 - Kalkulasi Centered Moving Average | Centered MA
07:48 - Kalkulasi Seasonal Relatives
09:26 - Kalkulasi Seasonal Index
11:48 - Kalkulasi Decomposition | De-Seasonalising
19:02 - Kalkulasi Tredline
23:56 - Kalkulasi Forecasting | Peramalan Nilai pada Data Deret Waktu
29:59 - Metric Pengukuran Performa


Links terkait:
- Dataset: https://docs.google.com/spreadsheets/d/1FI_FhAtxM_bo60ASRKm0PXYAXo-e379xXnf4LYy6yPk/edit?usp=sharing

Bagi teman-teman yang ingin mentraktir kami, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Time Series Decomposition
- Dekomposisi Data Deret Waktu
- Teknik Dekomposisi
- Time Series Deseasonalising
- Time Series Forecasting
- Peramalan Data Deret Waktu
- Peramalan Deret Waktu
- Tutorial Time Series
- Belajar Time Series
- Dasar Time Series
- Pengenalan Time Series
- Apa itu Time Series
- Belajar Data Deret Waktu
- Apa itu Data Deret Waktu
- Belajar Data Science
- Data Science Indonesia
- Statistika

#TimeSeries #Decomposition #DeretWaktu";2022-04-25T09:00:11Z;['time series', 'data deret waktu', 'belajar time series', 'belajar data deret waktu', 'data science indonesia', 'belajar data science', 'time series indonesia', 'tutorial time series', 'dasar time series', 'pengenalan time series', 'visualisasi data deret waktu', 'time series forecasting', 'peramalan data deret waktu', 'apa itu forecasting', 'decomposition', 'time series decomposition', 'dekomposisi data deret waktu', 'dekomposisi deret waktu', 'teknik dekomposisi', 'Time Series Deseasonalising'];PT31M35S;1202;17
IhW5vTjo9LE;CSD 15 | Sidang Skripsi Online di masa Pandemi | Sidang Tugas Akhir Mahasiswa;"Hallo sobat Indonesia Belajar, jumpa lagi dengan saya Budi di Catatan Seorang Dosen. Pada edisi kali ini saya ingin berbagi pendapat terkait sidang skripsi atau kadang juga disebut sidang tugas akhir mahasiswa di masa pandemi covid-19; khususnya untuk program studi terkait computer science atau ilmu komputer.

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Sidang Skripsi Online
- Sidang Skripsi Daring
- Sidang Skripsi Mahasiswa
- Sidang Tugas Akhir Mahasiswa
- Mekanisme Sidang Skripsi
- Proses Sidang Skripsi
- Kampus Merdeka
- Merdeka Belajar
- Catatan Seorang Dosen
- Indonesia Belajar

#CatatanSeorangDosen #SidangSkripsi #SidangOnline";2022-04-21T09:00:13Z;['sidang skripsi', 'sidang online', 'sidang skripsi online', 'sidang skripsi mahasiswa', 'sidang tugas akhir', 'sidang tugas akhir mahasiswa', 'dosen youtuber', 'ngobrolin skripsi', 'catatatan seorang dosen', 'indonesia belajar', 'sidang skripsi daring', 'sidang skripsi kuantitatif', 'mekanisme sidang skripsi', 'proses sidang skripsi', 'tugas akhir mahasiswa', 'sidang mahasiswa', 'kampus merdeka', 'merdeka belajar', 'belajar online', 'skripsi online', 'dosen milenial'];PT9M12S;615;34
kb1EKafVl1w;Seputar Blockchain bersama Nur Arifin Akbar | Blockchain Researcher | Bank Rakyat Indonesia | BRI;"Bincang santai seputar Blockchain bersama Nur Arifin Akbar | Blockchain Researcher | Bank Rakyat Indonesia | BRI

Hallo sobat Indonesia Belajar, kali ini channel Indonesia Belajar kedatangan tamu istimewa, yaitu Nur Arifin Akbar. Mas Arifin adalah seorang Blockchain Researcher untuk Bank Rakyat Indonesia. Mas Arifin juga seorang praktisi IT dengan background yang sangat solid di bidang banking maupun fintech, dan sekarang ini sedang memfokuskan diri sebagai seorang Blockchain Researcher. Oleh karenanya Mas Arifin sengaja kita undang di sesi podcast ini untuk kita ajak bincang-bincang seputar Teknologi Blockchain dan implementasinya.


Berikut adalah topik bahasan yang diangkat dalam sesi podcast ini:
00:00 - Intro
01:16 - Apa itu Blockchain
03:25 - Karakteristik yang menjadikan Blockchain appealing
06:28 - Awal mula berkenalan dengan Blockchain
08:42 - Blockchain project yang berkesan
12:10 - Implementasi Blockchain di luar Cryptocurrency
15:07 - Potensi implementasi Blockchain di Indonesia
17:18 - Implementasi Blockchain untuk menunjang Banking dan Fintech
21:05 - Tantangan implementasi Blockchain di Indonesia
23:32 - Peranan seorang Blockchain Researcher
25:34 - Kebutuhan akan Blockchain Developer di Indonesia
28:49 - Rekomendasi untuk mendalami Blockchain
34:46 - Miskonsepsi terkait Blockchain
39:28 - Closing statement


Reach-out Nur Arifin Akbar: 
- LinkedIn: https://www.linkedin.com/in/nur-arifin-akbar/

Bagi teman-teman yang ingin mentraktir channel Indonesia Belajar, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Nur Arifin Akbar
- Teknologi Blockchain
- Blockchain Researcher
- Bank Rakyat Indonesia | BRI
- Podcast Indonesia Belajar

#NurArifinAkbar #Blockchain #Crypto";2022-04-18T09:00:22Z;['nur arifin akbar', 'nur arifin blockchain', 'bank rakyat indonesia', 'teknologi blockchain', 'blockchain researcher', 'blockchain developer', 'seputar blockchain', 'apa itu blockchain', 'apa itu blockchain cryptocurrency', 'apa itu crypto', 'apa itu cryptocurrency', 'Blockchain Developer di Indonesia', 'Implementasi Blockchain', 'Implementasi Blockchain di luar Cryptocurrency', 'potensi blockchain', 'karakteristik blockchain', 'implementasi blockchain', 'nur arifin', 'Blockchain di Indonesia', 'blockchain'];PT42M33S;682;33
4tWhKbvpUmU;CSD 14 | Apakah Flatpak Universal Packaging System Terbaik untuk Linux?;"Hallo sobat Indonesia Belajar, jumpa lagi dengan saya Budi di Catatan Seorang Dosen. Pada edisi kali ini saya ingin berbagi pendapat terkait pertanyaan “Apakah Flatpak adalah Universal Packaging System Terbaik untuk Linux?”


00:00 - Intro
01:06 - Apa itu Flatpak
01:35 - Apa iru Universal Packaging System
02:25 - Distribusi Softwares
04:26 - Memisahkan Apps dari OS
06:39 - Keterbaruan Softwares
08:18 - Security dengan Sandboxing | Sandbox Environment
09:10 - Ketersediaan Softwares
09:39 - Pilihan Repository
10:52 - Dukungan Distro Linux
11:18 - Ukuran File & Performa
12:28 - Kesimpulan


Yuk ikut bergabung juga di group Facebook Linux Indonesia: https://www.facebook.com/groups/linuxidn

Links terkait:
- Flatpak: https://www.flatpak.org/
- Flathub: https://flathub.org/

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Flatpak Universal Packaging System
- Apa itu Flatpak
- Sistem Operasi Linux
- Flatpak & Flathub
- Open Source Indonesia
- Linux Indonesia

#CatatanSeorangDosen #Flatpak #LinuxIndonesia";2022-04-14T09:00:09Z;['flatpak linux', 'apa itu flatpak', 'linux indonesia', 'flatpak terbaik', 'universal packaging system', 'flathub', 'flathub linux', 'flatpak vs snap', 'flatpak vs appimage', 'flatpak universal packaging system', 'flatpak install', 'flatpak software', 'flatpak indonesia', 'flatpak flathub', 'open source indonesia', 'apa itu flathub', 'catatan seorang dosen', 'indonesia belajar', 'distribusi softwares', 'sandboxing', 'sandbox environment', 'linux flatpak', 'linux flatpak apps', 'linux flathub', 'kelebihan flatpak'];PT13M12S;1158;49
r0acUL77Fnc;Seputar Cloud Engineering bersama Imre Nagi | Cloud Platform Engineer | GoPay - GoTo Financial;"Bincang santai seputar Cloud Engineering bersama Imre Nagi | Cloud Platform Engineer | GoPay - GoTo Financial

Hallo teman2 sobat Indonesia Belajar, kali ini channel Indonesia Belajar kedatangan tamu istimewa, yaitu Imre Nagi. Mas Imre adalah seorang Cloud Engineer untuk Gopay, atau yang sekarang berubah nama menjadi GoTo Financial. Mas Imre juga termasuk praktisi IT yang senang berbagi, salah satunya melalui sesi podcast dan juga channel YouTube nya. Nanti akan kita bahas juga di penghujung sesi ini. Nah dalam sesi ini, Mas Imre ini sengaja diundang untuk kita ajak bincang-bincang seputar Cloud Engineering. 


Berikut adalah topik bahasan yang diangkat dalam sesi podcast ini:
00:00 - Intro
01:07 - Apa itu Cloud Engineering
03:51 - Awal mulai berkenalan dengan Cloud Engineering
11:33 - Tantangan dalam berkarir di bidang Cloud Engineering
14:23 - Miskonsepsi terkait bidang Cloud Engineering
18:58 - Kebutuhan tenaga ahli dalam bidang Cloud Engineering di Indonesia
21:28 - Rekomendasi untuk memulai terjun di bidang Cloud Engineering
24:16 - Aktivitas keseharian sebagai Cloud Engineer
25:50 - Tips untuk bisa tetap up to date | Tips mengatur waktu belajar
32:51 - Pengalaman sewaktu studi di Carnegie Mellon University | CMU
39:48 - Seputar channel YouTube Cloud Engineering with Imre
46:40 - Seputar podcast Ngobrolin Startup dan Teknologi
52:40 - Closing statement


Links terkait:
- Cloud Engineering with Imre: https://www.youtube.com/c/ImreNagi
- Ngobrolin Startup dan Teknologi: https://open.spotify.com/show/3cA81ivwFR2gDMF570j06X

Reach-out Imre Nagi: 
- LinkedIn: https://www.linkedin.com/in/imrenagi/
- Twitter: https://twitter.com/imrenagi

Bagi teman-teman yang ingin mentraktir channel Indonesia Belajar, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.com/invite/ybWmMHCfrQ
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Imre Nagi
- Cloud Platform Engineer
- Cloud Engineering with Imre
- Ngobroling Startup dan Teknologi
- Google Developer Expert - GDE
- Podcast Indonesia Belajar

#ImreNagi #CloudEngineer #CloudComputing";2022-04-11T09:00:11Z;['imre nagi', 'cloud engineer', 'cloud engineering', 'Cloud Engineering with Imre', 'Ngobroling Startup dan Teknologi', 'imre gopay', 'imre gde', 'cloud computing', 'google cloud', 'software engineering', 'Apa itu Cloud Engineering', 'karir cloud engineer', 'karir cloud engineering', 'google developer expert', 'imre nagi gde', 'podcast imre', 'apa itu cloud engineering', 'apa itu cloud engineer', 'seputar cloud engineering', 'GoTo Financial', 'Cloud Engineering bersama Imre Nagi', 'Cloud Engineering bersama Imre'];PT57M26S;1495;68
xWk5ao3C7ec;TS 07 | Holt-Winters Exponential Smoothing Forecasting | Peramalan Data Deret Waktu;"Salam Indonesia Belajar!!! 

Mengenal Holt-Winters Exponential Smoothing Forecasting | Peramalan Data Deret Waktu

Video ini adalah video ketujuh dari video berseri atau playlist bertema Belajar Time Series dengan Google Sheets. 

Forecasting atau peramalan merupakan proses untuk melakukan prediksi nilai pada suatu titik waktu tertentu berdasarkan sekumpulan data yang kita miliki pada sejumlah titik waktu sebelumnya, atau seringkali juga dikenal dengan istilah data historis atau historical data. Forecasting bisa dibilang merupakan salah satu topik penting dalam bidang time series analysis. Terdapat sejumlah teknik forecasting, dan dalam sesi kali ini kita akan pelajari salah satu teknik dasar, yaitu Holt-Winters exponential smoothing forecasting.


Dalam sesi belajar kali ini kita akan mempelajari:
00:00 - Intro
01:03 - Dataset
03:45 - Pengenalan Holt-Winters Exponential Smoothing
05:08 - Level Equation
07:20 - Trend Equation
09:11 - Seasonal Equation
10:53 - Forecast Equation 
12:39 - Seed Value untuk Level
13:55 - Seed Value untuk Trend
17:25 - Seed Value untuk Seasonal
18:59 - Kalkulasi nilai Level
21:25 - Kalkulasi nilai Trend
22:56 - Kalkulasi nilai Seasonal 
24:20 - Kalkulasi within sample Forecast
29:00 - Kalkulasi out of sample Forecast
32:48 - Metric pengukuran performa
33:21 - Tweaking nilai parameter alpha, beta, dan gamma


Links terkait:
- Dataset: https://docs.google.com/spreadsheets/d/1e5Wk7qRzxjIHvTRJ_6Le13ihaj8VBqBpPz1ZbNu9eAc/edit?usp=sharing

Bagi teman-teman yang ingin mentraktir kami, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.gg/6fFB6sARaR
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Holt-Winters Exponential Smoothing Forecasting
- Time Series Forecasting
- Peramalan Data Deret Waktu
- Peramalan Deret Waktu
- Tutorial Time Series
- Belajar Time Series
- Dasar Time Series
- Pengenalan Time Series
- Apa itu Time Series
- Belajar Data Deret Waktu
- Apa itu Data Deret Waktu
- Belajar Data Science
- Data Science Indonesia
- Statistika

#TimeSeries #HoltWintersExponentialSmoothing #DeretWaktu";2022-04-07T09:00:14Z;['time series', 'data deret waktu', 'belajar time series', 'belajar data deret waktu', 'data science indonesia', 'belajar data science', 'time series indonesia', 'tutorial time series', 'dasar time series', 'pengenalan time series', 'visualisasi data deret waktu', 'visualisasi time series', 'time series forecasting', 'peramalan data deret waktu', 'apa itu forecasting', 'mean absolute error', 'mean squared error', 'holt winters', 'holt winters exponential smoothing', 'exponential smoothing'];PT35M11S;718;26
mqtSWqi1Yms;LMDE 5 Elsie | Linux Mint Debian Edition | Linux Indonesia;"Salam Indonesia Belajar!!!

Apa itu Llinux? Apa itu Linux Mint Debian Edition | LMDE 5 Elsie
Video ini memberikan panduan instalasi serta ulasan LMDE 5 Elsie

Linux Mint Debian Edition versi 5 ini direlease pada bulan Maret tahun 2022 dengan nama release Elsie . Seperti nampak dari namanya, Linux Mint Debian Edition atau kadang disingkat sebagai LMDE  merupakan distro Linux turunan dari Debian Stable Edition. Oleh karenanya tingkat stabilitas dari LMDE ini tidak perlu diragukan lagi. LMDE 5 ini diturunkan dari Debian 11 Bulls eyes. 

Baik Debian maupun Linux Mint, keduanya merupakan community driven Linux Distribution, atau distro Linux yang dikelola oleh komunitas. Hanya saja, Debian lebih banyak digunakan untuk keperluan server, sedangkan LMDE lebih diperuntukkan bagi pengguna laptop dan desktop. Linux Mint juga lebih menargetkan pengguna awam, tanpa mensyaratkan kemampuan teknis apapun terkait sistem operasi. Kami pribadi selalu merekomendasikan Linux Mint, termasuk juga LMDE ini bagi siapapun yang ingin migrasi ke sistem operasi berbasis Linux, terutama sekali bagi yang sebelumnya pengguna Windows. Untuk desktop environment, LMDE mengusung Cinamon; sebuah desktop environment yang dibangun secara khusus oleh tim developer dari Linux Mint.


00:00 - Intro
00:56 - Persiapan Virtual Machine - Virt-Manager
02:14 - Panduan instalasi Linux Mint Debian Edition | LMDE
07:09 - Informasi menarik terkait Linux Mint Debian Edition | LMDE
10:09 - Post installation
13:08 - Update Manager | Memilih Local Mirror
19:28 - Ulasan Linux Mint Debian Edition | LMDE
24:20 - Instalasi software pada LMDE dengan Software Manager
32:12 - File Manager
33:30 - Mengganti Wallpaper | Background
34:29 - Mengganti Theme
35:35 - Kesimpulan


Pertanyaan terkait ulasan dalam video ini dapat disampaikan pada kolom komentar di bawah ini. Kami akan berusaha sebaik mungkin untuk merespon setiap pertanyaan yang diajukan.

Links terkait:
- Komunitas Linux Mint Indonesia: https://t.me/mint_id
- Group FB Linux Indonesia: https://www.facebook.com/groups/linuxidn
- Linux Mint: https://linuxmint.com/
- Video Pengenalan FOSS: https://youtu.be/OwXZwIs0vAU
- Distrowatch: https://distrowatch.com

Bagi teman-teman yang ingin mentraktir kami, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn

Reach out Indonesia Belajar:
- Landing page: https://beacons.ai/belajarIDN
- Twitter: https://twitter.com/belajarIDN
- Discord server: https://discord.com/invite/ybWmMHCfrQ
- Merchandise: https://www.ciptaloka.com/+belajaridn/

Keywords:
- Linux Indonesia
- Instalasi Linux Pemula
- Review Linux Mint Debian Edition
- Ulasan Linux Mint Debian Edition
- Belajar Linux Pemula
- Belajar Linux Dasar
- Tutorial Linux Pemula
- Cinnamon Desktop
- FOSS Indonesia
- Open Source Indonesia
- Linux Mint Indonesia
- Linux untuk Programmer

#LinuxMint #LMDE #LinuxIndonesia";2022-04-04T09:00:13Z;['linux indonesia', 'belajar linux', 'tutorial linux', 'review linux', 'instalasi linux', 'instal linux', 'install linux', 'ulasan linux', 'apa itu linux', 'belajar linux pemula', 'distrowatch', 'linux pemula', 'belajar linux indonesia', 'virt-manager', 'ubuntu lts', 'flathub', 'flatpak', 'apt install', 'tiling window', 'linux mint', 'linux mint indonesia', 'instal linux mint', 'review linux mint indonesia', 'linux untuk programmer', 'foss indonesia', 'lmde 5 elsie', 'lmde 5', 'lmde 5 review', 'linux mint debian edition'];PT40M33S;1064;25
Dv-TEvSdRD4;Kirby Planet Robobot | Nintendo 3DS 2DS | Citra | Gaming di Linux;"Linux juga bisa digunakan sebagai Sistem Operasi yang nyaman untuk bermain game lho teman-teman. Kali ini saya memainkan Kirby Planet Robobot  untuk platform Nintendo 3DS 2DS yang dimainkan dengan emulator Citra pada Linux Mint.

Links terkait:
- Citra: https://flathub.org/apps/details/org....
- Kirby Planet Robobot: https://en.wikipedia.org/wiki/Kirby%3A_Planet_Robobot

Keywords:
- Linux Indonesia
- Gaming di Linux
- Nintendo 3DS di Linux
- Nintendo 2DS di Linux
- Citra Emulator 3DS
- Emulator Nintendo 3DS
- Kirby Planet Robobot di Linux

#Linux #Nintendo #KirbyPlanetRobobot";2022-04-03T09:00:14Z;['linux gaming', 'bermain game di linux', 'linux untuk gaming', 'gaming di linux', 'linux indonesia', 'review game linux', 'review linux game', 'gaming on linux', 'linux gamer', 'game di linux', 'game untuk linux', 'main game di linux', 'game linux', 'linux game', 'citra emulator', 'nintendo 3ds', 'nintendo 3ds di linux', 'citra 3ds', 'citra nintendo 3ds', 'emulator nintendo 3ds', 'emulator nintendo', 'nintendo 2ds', 'kirby planet robobot', 'kirby'];PT1H57M43S;454;21
